docid,title,text,subject,predicate,object,relation_present,basic_relation,template_relation,llm_relation,llm_clean_gpt51_he_triplet_0s_nc,llm_raw_gpt51_he_triplet_0s_nc,llm_clean_gpt51_he_triplet_5s_nc,llm_raw_gpt51_he_triplet_5s_nc,llm_clean_gpt51_en_triplet_0s_nc,llm_raw_gpt51_en_triplet_0s_nc,llm_clean_gpt51_en_triplet_5s_nc,llm_raw_gpt51_en_triplet_5s_nc
617697,צנעא (מחוז),"מחוז צנעא (בערבית: محافظة صنعاء; תעתיק מדויק: מחאפט'ת צנעאא) הוא מחוז במערבה של תימן.
בירת המחוז היא העיר צנעא שהיא גם בירת המדינה, למרות שהעיר היא מחוז נפרד בפני עצמו. המחוז הוא ה-9 בגודלו בתימן מבחינת גודל אוכלוסייה (919,215 איש) והמחוז ה-10 בגודלו מבחינת שטח (13,730 קמ""ר). המחוז גובל בצפון עם אל-ג'וף ועם עמראן, בצפון מערב הוא גובל עם אל-מחוית ועם אל-חודיידה, בדרום עם רימה ועם דמאר ועם אל-ביידא ובמזרח עם מאריב.",אל-חודיידה,גובל עם,רימה,0,אל-חודיידה גובל עם רימה,אל-חודיידה גובל ב-רימה,אל-חודיידה גובלת ברימה.,0,לא,0,לא,0,no,0,no
1472320,אינם,"אינם (ברוסית: Энем, באדיגית: Инэм) היא עיירה ברוסיה, ברפובליקת אדיגיה שבצפון הרי הקווקז. 
העיירה נוסדה ב-1890. בשנות הששים של המאה ה-20 התחילה להתפתח מהר לאחר שבעיירה נפתחה תחנת רכבת שחיברה אותה עם קרסנודר וטואפסה. ב-17 בנובמבר 1967 העיירה קיבלה מעמד של מושבת עובדים.
באינם נולד הקוסמונאוט הסובייטי אנטולי ברזובוי.
==אוכלוסייה==
אוכלוסיית אינם לפי שנים:
==ערים תאומות==",אינם,מדינה,רוסיה,1,אינם מדינה רוסיה,המיקום של אינם הוא במדינת רוסיה,אינם מדינת רוסיה.,1,כן,1,כן,1,yes,1,yes
1078052,רוהרבאך,"רוהרבאך (בגרמנית: Rohrbach) הייתה עיר הבירה של מחוז רוהרבאך במדינת אוסטריה עילית שבאוסטריה.
העיר נוסדה בתחילת המאה ה-13, כעצירה למנוחה קודם חציית יער בוהמיה. העיר קיבלה חשיבות בשנת 1749 כשהפכה למקום המושב של מנהלת המחוז, כמו גם בית המשפט המחוזי והממשל המקומי מאוחר יותר.
כיום זו היא העיר היחידה במחוז.
העיר ממוקמת 21 ק""מ מזרחית מהגבול הגרמני, 10 ק""מ דרומית מהגבול הצ'כי ו-45 ק""מ מבירת המדינה לינץ.
במאי 2015 רוהרבאך מוזגה עם העיר הסמוכה לעיר רוהרבאך-ברג.
== קישורים חיצוניים ==",אוסטריה עילית,מדינה,אוסטריה,1,אוסטריה עילית מדינה אוסטריה,המיקום של אוסטריה עילית הוא במדינת אוסטריה,אוסטריה עילית היא מדינה באוסטריה.,1,כן,1,כן,1,yes,1,yes
1312122,סימי ואלי,"סימי ואלי (באנגלית: Simi Valley) היא עיר במדינת קליפורניה בארצות הברית, הממוקמת בדרום-מזרח מחוז ונטורה, כ-48 קילומטרים ממרכז לוס אנג'לס, ומהווה חלק מאזור המטרופולין שלה. 
בסימי ואלי ממוקם מתחם הספרייה הנשיאותית והמוזיאון על שם רונלד רייגן. הסדרה בית קטן בערבה צולמה בסימי ואלי.",אנגלית,מדינה,ארצות הברית,0,אנגלית מדינה ארצות הברית,המיקום של אנגלית הוא במדינת ארצות הברית,אנגלית היא השפה הרשמית בארצות הברית.,0,לא,0,לא,0,no,0,no
1740805,Live! The Farewell Tour,"Live! The Farewell Tour (בעברית: בהופעה חיה! מופע הפרידה) הוא אלבום הופעה הראשון של זמרת הפופ האמריקנית, שר. האלבום יצא לאור ב-26 באוגוסט 2003 על ידי חברת התקליטים האחים וורנר.
האלבום הקולט במהלך סבב הפרידה של שר ""Living Proof: The Farewell Tour"", שהתחיל ב-14 ביוני 2002 והסתיים ב-30 באפריל 2005.
==רשימת רצועות==
== מיקומי שיא ==
== היסטוריית יציאות לאור ==
== קישורים חיצוניים ==
== הערות שוליים ==
קטגוריה:אלבומי שר",שר,עיסוק,זמר,1,שר עיסוק זמר,העיסוק של שר הוא זמר,השר הוא גם זמר.,1,כן,1,כן,1,yes,1,yes
1792078,רעידת האדמה באלזי (2020),"רעידת האדמה ב[[נפות טורקיה|נפת]] [[אלזי (נפה)|אלזי]] שב[[טורקיה]] הייתה רעידת אדמה שהתרחשה ב-24 בינואר 2020 ב-20:55:12 לפי השעון המקומי (17:55:12 בשעון UTC). ברעידת אדמה זו, שהייתה בעוצמה של 6.7 בסולם מגניטודה לפי מומנט, נהרגו לפחות 41 אנשים ולפחות 1,607 אנשים נפצעו.
מוקד רעידת אדמה היה בנפת אלזי שבטורקיה. עם זאת, רעידת האדמה הורגשה גם באיראן, אלבניה, ארמניה, גאורגיה, ישראל, לבנון, סוריה ועיראק.
== קישורים חיצוניים ==
== הערות שוליים ==
אלזי
2020",איראן,יחסים דיפלומטיים,לבנון,0,איראן יחסים דיפלומטיים לבנון,יש יחסים דיפלומטיים בין איראן ל-לבנון,לאיראן וללבנון יש יחסים דיפלומטיים.,0,לא,0,לא,0,no,0,no
1207076,בלונו (נפה),"נפת בלונו (באיטלקית: Provincia di Belluno) היא נפה במחוז ונטו שבאיטליה. היא משתרעת על שטח של 3,678 קמ""ר, ובשנת 2011 התגוררו בה 213,474 נפש. בירתה של הנפה בעיר בלונו.
הנפה גובלת בטירול ובקרינתיה באוסטריה בצפון. היא גובלת בנפת אודינה ובנפת פורדנונה במחוז פריולי-ונציה ג'וליה במזרח. בדרום היא גובלת בנפת טרויזו ובנפת ויצ'נצה. הנפה גובלת בנפת טרנטו ובנפת בולצנו במחוז טרנטינו - אלטו אדיג'ה במערב.",נפת בלונו,מדינה,איטליה,1,נפת בלונו מדינה איטליה,המיקום של נפת בלונו הוא במדינת איטליה,נפת בלונו נמצאת באיטליה.,1,כן,1,כן,1,yes,1,yes
280567,דופטאנה (בית סוהר),"דופטאנה (ברומנית: Doftana) היה בית סוהר ביישוב דופטאנה שבמחוז פרחובה, ברומניה.
בשנות העשרים והשלושים של המאה ה-20 שימש בית הסוהר דופטאנה לכליאת אסירים פוליטיים. בין שאר האישים שנכלאו בכלא זה ניתן למנות את גאורגה גיורגיו-דז', ניקולאה צ'אושסקו, גאורגה אפוסטול ומקס גולדשטין. בתקופה הקומוניסטית המבנה הפך למוזיאון, אך המחסור בתקציבי החזקה הביא לסגירתו.",רומנית,מדינה,רומניה,0,רומנית מדינה רומניה,המיקום של רומנית הוא במדינת רומניה,רומנית היא שפה המדוברת ברומניה.,0,לא,1,כן,0,no,1,yes
1126413,מערב אוקספורדשייר,"מערב אוקספורדשייר הוא תת-מחוז של מחוז אוקספורדשייר באנגליה, בריטניה. תת-המחוז מכיל עיירות כמו וודסטוק, ברפורד, צ'יפינג נורטון, צ'רלברי וויטני, שבה נמצאת המועצה.
האזור הוא בעיקרו כפרי ונמצא בו יער, הפעילות העיקרית היא בחקלאות ובמקצועות נלווים.
המחוז הוקם ב-1 באפריל 1974.
מערב אוקספורדשייר נמצא בתוך אגן ההיקוות של נהר התמזה.",מערב אוקספורדשייר,יחידה מנהלית,מחוז אוקספורדשייר,1,מערב אוקספורדשייר יחידה מנהלית מחוז אוקספורדשייר,מערב אוקספורדשייר היא יחידה מנהלית של מחוז אוקספורדשייר,מערב אוקספורדשייר הוא חלק ממחוז אוקספורדשייר.,1,כן,1,כן,1,yes,1,yes
2337059,ארכיפלג רוס,"ארכיפלג רוס (באנגלית: Ross Archipelago) הוא שמו של ארכיפלג אשר ביחד עם מדף הקרח המצוי בתחומו, מהווה את הגבול המזרחי והדרומי של מצר מקמרדו באנטארקטיקה. האי הצפוני ביותר בארכיפלג הוא האי בופורט. דרומית לבופורט נמצאים האיים רוס, וויט, בלאק ואיי דלברידג'.
== ראו גם ==
* הגאזט האנטארקטי המשווה SCAR
== הערות שוליים ==
רוס
רוס",מזרח,ההפך מ־,דרומ,0,מזרח ההפך מ־ דרומ,ההפך מ-מזרח הוא דרומ,מזרח הוא ההפך מדרום.,0,לא,0,לא,0,no,0,no
